name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_98,-3.05046,0.458718,-4.06888,-1.74635,-2.59174,-3.50917,-23.975,12.2357,-69.3969,-4.80579,-11.7393,-36.2108,0.736916
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:g03-04_231,3.56317,0.513877,1.74683,5.09859,4.07704,3.04929,1476.7,17646,5.17399,216154,19122.7,-16169.3,0.0754006
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:h06-04_52670,8.33343,0.501558,7.14719,9.49227,8.83499,7.83187,-807.385,8611.81,-104205,6.59242,7804.42,-9419.19,0.554769
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:h06-04_53054,8.45765,0.533121,7.33894,9.76685,8.99077,7.92453,-1294.03,13791.1,-166930,4.5993,12497.1,-15085.1,2.73964
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:h06-04_53147,2.49585,0.525126,1.37129,3.87984,3.02098,1.97073,-1601.33,17059.7,-206538,0.417057,15458.3,-18661,0.954234
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:h08-02_514,-3.01564,0.4762,-4.05668,-1.47213,-2.53944,-3.49184,-2049.86,24355.6,-298308,-4.22207,22305.7,-26405.4,0.16539
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_739,0.141039,0.48916,-1.03342,1.1803,0.630199,-0.348121,7.35894,2.74862,1.69219,15.581,10.1076,4.61032,0.511896
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_741,1.00305,0.469665,-0.0783128,2.32408,1.47271,0.533385,8.78342,3.0527,2.67064,18.4022,11.8361,5.73072,0.346561
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_742,-0.365071,0.490804,-1.59337,0.793279,0.125733,-0.855874,5.80317,2.92234,1.29228,17.6786,8.72551,2.88083,0.499005
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:j07-03_743,1.75218,0.477966,0.622054,2.92737,2.23015,1.27421,9.73822,3.05586,3.79147,19.9491,12.7941,6.68237,0.8641
